order_item_id,order_id,product_id,quantity,unit_price
OI0000001,ORD000001,PROD00067,4,593.36
OI0000002,ORD000001,PROD00090,1,785.42
OI0000003,ORD000002,PROD00152,2,318.78
OI0000004,ORD000002,PROD00167,4,337.16
OI0000005,ORD000002,PROD00133,4,642.47
OI0000006,ORD000003,PROD00160,4,601.22
OI0000007,ORD000003,PROD00117,3,224.25
OI0000008,ORD000003,PROD00194,5,833.29
OI0000009,ORD000004,PROD00037,4,305.92
OI0000010,ORD000004,PROD00048,4,175.58
OI0000011,ORD000005,PROD00015,2,163.87
OI0000012,ORD000006,PROD00142,2,122.28
OI0000013,ORD000006,PROD00009,2,411.63
OI0000014,ORD000006,PROD00042,2,98.87
OI0000015,ORD000006,PROD00037,5,305.92
OI0000016,ORD000006,PROD00065,1,253.5
OI0000017,ORD000007,PROD00008,4,881.57
OI0000018,ORD000007,PROD00067,1,593.36
OI0000019,ORD000007,PROD00089,2,777.04
OI0000020,ORD000008,PROD00101,2,684.8
OI0000021,ORD000008,PROD00024,3,525.45
OI0000022,ORD000009,PROD00013,4,1000.09
OI0000023,ORD000010,PROD00136,5,383.65
OI0000024,ORD000010,PROD00137,3,612.77
OI0000025,ORD000010,PROD00030,5,178.19
OI0000026,ORD000010,PROD00066,3,318.62
OI0000027,ORD000011,PROD00136,3,383.65
OI0000028,ORD000011,PROD00114,3,120.31
OI0000029,ORD000011,PROD00094,1,109.52
OI0000030,ORD000011,PROD00109,4,369.13
OI0000031,ORD000011,PROD00008,1,881.57
OI0000032,ORD000012,PROD00034,2,48.06
OI0000033,ORD000013,PROD00009,1,411.63
OI0000034,ORD000013,PROD00184,5,202.51
OI0000035,ORD000013,PROD00107,5,80.89
OI0000036,ORD000013,PROD00170,4,312.82
OI0000037,ORD000014,PROD00041,5,186.37
OI0000038,ORD000014,PROD00180,2,742.5
OI0000039,ORD000015,PROD00105,1,444.1
OI0000040,ORD000015,PROD00171,3,561.13
OI0000041,ORD000015,PROD00110,2,436.43
OI0000042,ORD000016,PROD00130,1,404.49
OI0000043,ORD000016,PROD00021,2,601.54
OI0000044,ORD000016,PROD00080,1,56.83
OI0000045,ORD000017,PROD00175,1,29.99
OI0000046,ORD000018,PROD00093,3,337.65
OI0000047,ORD000019,PROD00128,1,103.13
OI0000048,ORD000020,PROD00104,4,175.68
OI0000049,ORD000021,PROD00200,2,852.45
OI0000050,ORD000021,PROD00175,3,29.99
OI0000051,ORD000022,PROD00059,4,518.56
OI0000052,ORD000023,PROD00197,5,720.46
OI0000053,ORD000024,PROD00052,3,26.03
OI0000054,ORD000024,PROD00127,2,310.77
OI0000055,ORD000024,PROD00056,1,265.08
OI0000056,ORD000024,PROD00023,3,87.21
OI0000057,ORD000025,PROD00059,4,518.56
OI0000058,ORD000025,PROD00190,3,474.91
OI0000059,ORD000026,PROD00163,1,343.04
OI0000060,ORD000026,PROD00185,4,446.51
OI0000061,ORD000027,PROD00124,1,425.98
OI0000062,ORD000027,PROD00090,2,785.42
OI0000063,ORD000028,PROD00040,3,716.63
OI0000064,ORD000029,PROD00039,4,309.98
OI0000065,ORD000030,PROD00148,2,261.05
OI0000066,ORD000030,PROD00150,2,540.84
OI0000067,ORD000030,PROD00027,3,267.78
OI0000068,ORD000031,PROD00020,2,541.07
OI0000069,ORD000031,PROD00166,3,1051.59
OI0000070,ORD000031,PROD00005,4,476.87
OI0000071,ORD000031,PROD00118,1,372.82
OI0000072,ORD000032,PROD00047,4,804.26
OI0000073,ORD000032,PROD00150,4,540.84
OI0000074,ORD000032,PROD00154,5,400.8
OI0000075,ORD000032,PROD00018,5,926.99
OI0000076,ORD000032,PROD00121,2,747.1
OI0000077,ORD000033,PROD00182,4,334.16
OI0000078,ORD000033,PROD00193,2,553.86
OI0000079,ORD000033,PROD00051,3,463.06
OI0000080,ORD000034,PROD00119,2,936.38
OI0000081,ORD000034,PROD00097,1,407.1
OI0000082,ORD000034,PROD00104,3,175.68
OI0000083,ORD000034,PROD00133,1,642.47
OI0000084,ORD000035,PROD00147,2,504.99
OI0000085,ORD000035,PROD00137,3,612.77
OI0000086,ORD000035,PROD00121,4,747.1
