order_id,customer_id,order_date,status,shipping_city,shipping_state,discount,tax,total_amount
ORD000001,CUST99999,2023-10-12,Cancelled,Indianapolis,IN,8.8,136.64,-51.42
ORD000002,CUST00337,2023-11-02,Completed,Philadelphia,PA,45.03,66.07,846.91
ORD000003,CUST00478,2025-05-09,Completed,Philadelphia,PA,7.03,19.33,253.93
ORD000004,CUST00255,2025-04-28,Completed,San Diego,CA,0,124.38,1679.11
ORD000005,CUST00413,2023-05-06,Completed,Philadelphia,PA,15.67,133.44,1785.79
ORD000006,CUST00226,2023-08-12,Pending,San Francisco,CA,0,29.34,396.15
ORD000007,CUST00058,2024-08-26,Completed,Minneapolis,MN,0,86.1,1162.37
ORD000008,CUST00186,2024-05-01,Completed,Nashville,TN,48.17,140.9,1854.01
ORD000009,CUST00018,2025-04-21,Completed,Salt Lake City,UT,0,103.83,1401.72
ORD000010,CUST00359,2025-03-18,Completed,Houston,TX,12.65,62.54,831.58
ORD000011,CUST00199,2024-12-02,Pending,Las Vegas,NV,0,138.93,1875.5
ORD000012,CUST00388,2024-02-07,Pending,New York,NY,45.9,49.26,619.12
ORD000013,CUST00393,2025-05-30,Completed,San Francisco,CA,45.79,101.61,1325.9
ORD000014,CUST00431,2023-10-08,Cancelled,Minneapolis,MN,41.16,150.57,1991.59
ORD000015,CUST00034,2025-06-16,Completed,Detroit,MI,5.02,27.0,359.46
ORD000016,CUST00027,2025-01-16,Completed,Portland,OR,36.89,73.4,953.97
ORD000017,CUST00295,2025-03-21,Completed,Jacksonville,FL,0.15,33.29,449.29
ORD000018,CUST00391,2023-09-13,Completed,Philadelphia,PA,0,155.2,2095.14
ORD000019,CUST00448,2024-12-03,Returned,Dallas,TX,0,150.4,2030.45
ORD000020,CUST00044,2024-12-04,Completed,Dallas,TX,0,53.49,722.1
ORD000021,CUST00486,2024-02-07,Completed,Minneapolis,MN,47.24,141.68,1865.44
ORD000022,CUST00135,2024-10-24,Pending,Los Angeles,CA,11.44,15.69,200.42
ORD000023,CUST00189,2024-09-24,Completed,Austin,TX,0,42.81,577.92
ORD000024,CUST00476,2023-05-01,Pending,Austin,TX,0,84.89,1146.05
ORD000025,CUST00442,2024-05-21,Returned,Raleigh,NC,0,114.63,1547.49
ORD000026,CUST00111,2024-05-21,Completed,Seattle,WA,0,69.92,943.91
ORD000027,CUST00135,2023-07-13,Cancelled,Denver,CO,0,66.31,895.19
ORD000028,CUST00006,2023-09-12,Completed,San Francisco,CA,0,109.99,1484.84
ORD000029,CUST00217,2023-11-28,Completed,Salt Lake City,UT,19.88,35.22,455.53
