payment_id,order_id,payment_method,payment_status,payment_date
PAY000001,ORD000001,Credit Card,Failed,2023-10-15
PAY000002,ORD000002,PayPal,Success,2023-11-04
PAY000003,ORD000003,PayPal,Success,2025-05-09
PAY000004,ORD000004,Credit Card,Success,2025-05-01
PAY000005,ORD000005,Google Pay,Success,2023-05-06
PAY000006,ORD000006,Google Pay,Success,2023-08-14
PAY000007,ORD000007,Google Pay,Success,2024-08-29
PAY000008,ORD000008,Apple Pay,Success,2024-05-01
PAY000009,ORD000009,Google Pay,Success,2025-04-21
PAY000010,ORD000010,PayPal,Success,2025-03-21
PAY000011,ORD000011,Debit Card,Success,2024-12-03
PAY000012,ORD000012,Google Pay,Pending,2024-02-10
PAY000013,ORD000013,PayPal,Success,2025-06-02
PAY000014,ORD000014,Credit Card,Refunded,2023-10-11
PAY000015,ORD000015,Gift Card,Success,2025-06-18
PAY000016,ORD000016,PayPal,Success,2025-01-17
PAY000017,ORD000017,PayPal,Success,2025-03-24
PAY000018,ORD000018,Apple Pay,Success,2023-09-14
PAY000019,ORD000019,Gift Card,Success,2024-12-03
PAY000020,ORD000020,Apple Pay,Success,2024-12-05
PAY000021,ORD000021,Apple Pay,Success,2024-02-09
PAY000022,ORD000022,Google Pay,Pending,2024-10-24
PAY000023,ORD000023,Google Pay,Success,2024-09-27
PAY000024,ORD000024,Google Pay,Pending,2023-05-01
PAY000025,ORD000025,Apple Pay,Success,2024-05-21
PAY000026,ORD000026,Credit Card,Success,2024-05-24
PAY000027,ORD000027,Gift Card,Refunded,2023-07-16
PAY000028,ORD000028,Debit Card,Success,2023-09-13
PAY000029,ORD000029,Google Pay,Success,2023-11-29
PAY000030,ORD000030,Debit Card,Success,2024-07-25
PAY000031,ORD000031,Gift Card,Pending,2024-11-18
PAY000032,ORD000032,Google Pay,Success,2024-02-11
PAY000033,ORD000033,Gift Card,Success,2024-05-20
PAY000034,ORD000034,Debit Card,Refunded,2023-05-02
PAY000035,ORD000035,Gift Card,Refunded,2024-03-19
PAY000036,ORD000036,Credit Card,Success,2023-11-20
PAY000037,ORD000037,Credit Card,Success,2023-06-02
PAY000038,ORD000038,Apple Pay,Failed,2024-05-24
PAY000039,ORD000039,Google Pay,Success,2025-05-16
PAY000040,ORD000040,PayPal,Success,2025-02-08
PAY000041,ORD000041,Apple Pay,Success,2023-01-05
PAY000042,ORD000042,Apple Pay,Failed,2024-11-27
PAY000043,ORD000043,Debit Card,Success,2023-04-21
PAY000044,ORD000044,Debit Card,Success,2023-10-04
PAY000045,ORD000045,Debit Card,Success,2025-01-21
PAY000046,ORD000046,Google Pay,Refunded,2023-10-19
PAY000047,ORD000047,Credit Card,Success,2023-07-05
